Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,PriceDropFromPeakPct,TradeResult,Profit_SOL,RunningTotal_SOL
PYWMTHom9taiQH9K9PW8eKbPvMgVtgG3wnJVuYvKoep1Vh3UEhQxauHDWANhScotXDjM47Ae6xqKk8eo6L46j5c,[object Object],2025-05-20T15:21:31.000Z,32,0,24,80,413,131,7,Skipped,0,0.3
61TuqDiAj7WYLkGNwLnoeYBnzWm9Sbw8V2vL4sbqL26HqLXCgXQTyCGmMekZX4xaABsp3uFvtUPEk4VWtLUhU7LA,[object Object],2025-05-20T15:21:31.000Z,52,9,1,89,314,136,31,Partial Exit (Win),0.05,0.35
6vVKieXVG7kzia3uUYedh9gGvgSL4RGnU4QQw69u1Z7M8JBk7Vz8XEbWdWzqKT6xPKtaWx7JAzsfGKvi9nLde2k,[object Object],2025-05-20T15:21:31.000Z,13,3,11,19,487,7,39,Skipped,0,0.35
G1cEf9nL7rDoM1Cexk6Qu6DnewTSPhxjMoyyjxbcH3ezirjGKaJWdwf1tWnCJVewfStuBfocMW1tZMB9G7ZqTQn,[object Object],2025-05-20T15:21:31.000Z,85,4,24,73,87,172,2,Skipped,0,0.35
42NYKcdmLB7dbL2FC2CHmBhAKMYf3GUAyQoU2tQgNqC51cYr3jDVU1nbgGXVKWEFyxSAmzmDAp7FtkxBJyVKyvpC,[object Object],2025-05-20T15:21:31.000Z,96,3,26,66,349,115,1,Skipped,0,0.35
63GSqdottKcg4nVYbCf9XAE76ZdGKPXx9S6ympXEdBYumxoZGLUdhqUdt71UcBPTyN24ZBuxgZnBsCaUPN2pHacj,[object Object],2025-05-20T15:21:31.000Z,1,4,28,43,327,99,14,Skipped,0,0.35
2kQypJuP5JCiGhuEUFVV9MTdjE6xh7ZmXSv6EVPTNcmiaE74YB9K3reufZCD4HdWbmd3q8Kf51MpXjmbkSCM1qZg,[object Object],2025-05-20T15:21:31.000Z,70,6,28,57,113,36,35,Partial Exit (Win),0.05,0.39999999999999997
3gxNiG4VcViLdsMypTU81tFSETU1bCdKaW6HcRHYU6EHjE4xLRDF8txNHvN6Mj7xtUvmVUjky48a9e11vDkBWRPd,[object Object],2025-05-20T15:21:31.000Z,53,4,25,84,33,136,3,Skipped,0,0.39999999999999997
4uY9Q1t69gq1M8onFgANvgQP2ndeDpEDQPXNgRe215u4wVHADngztownWJfDMaTApWjP248PfqMPVw6UmKRwvSiL,[object Object],2025-05-20T15:21:31.000Z,95,3,26,89,345,244,6,Skipped,0,0.39999999999999997
5Aj58BPi4XGecmJFrri7bfXvBb7VEwWwjjyyf6m3SXCavJqrQqZbWw6Hfg5xWsDNLempLkCgefLxasLETBwFHxHC,[object Object],2025-05-20T15:21:31.000Z,1,9,14,61,389,209,21,Moonshot (Win),0.2,0.6
3vNJPoC5gvSk6EGm4sFTx859T7kmE1aiQ7EHiL2MKApaRAqQVivF1BaEYVKTqEBgA3rN7AXSbeetJwuZcTE2qPYx,[object Object],2025-05-20T15:21:31.000Z,34,3,4,33,206,57,33,Skipped,0,0.6
2hoPgU9tuEnFS4AtYAJcCdtKUZ8j4CGws48cCvExYyyGPeL6RiDifVuKwLzhyiCgLW12f6wqQqZqoJGAQ8gqNCeo,[object Object],2025-05-20T15:21:31.000Z,29,7,8,53,38,260,37,Partial Exit (Win),0.05,0.65
32v8k5u3bk9KyviSR9M2iJUzQb6HDwMQBeyf5EWMha5w2acBhcsDfrPKpw1d3EN6fSKDsP3ZLC6AVJ9DgKnYZujk,[object Object],2025-05-20T15:21:31.000Z,79,8,3,8,157,59,18,Partial Exit (Win),0.05,0.7000000000000001
4KTxMuQEYzRyPdJfSiottbkVwrcTCusKQi1sn7iL98TKUSDKSiKBh5Gpb8TCsgqtyzo3aD74LSAaazLD4UZTWNfM,[object Object],2025-05-20T15:21:31.000Z,93,1,27,48,483,237,9,Skipped,0,0.7000000000000001
5KZ5LdFrAcJMGbXQSdsoRA5yaLM3LCucJiiHGWzW7z9Fkn7QxfhhXXmMFyzS5ZiyhK4J4nUUxG4NdAz8UUrbTTi4,[object Object],2025-05-20T15:21:31.000Z,53,2,2,77,421,178,31,Skipped,0,0.7000000000000001
3gJ8vLB91EUYXxdC4VSEQvESKMSvQDiHYpxABP19ktT98uCSvkVW4uuUzGzsMSQMFfaJ2Z8y1FJ2dmJzWvbE1HJU,[object Object],2025-05-20T15:21:31.000Z,56,3,14,93,447,219,30,Skipped,0,0.7000000000000001
4ZgYjd2ZMLMWANLc8xZWdTQxyP8LY9AdqqbPrX5KMd6YtxWaaH1CNJKRqP4ukaRcLGrhcaQgmcEba14vutYYQYqc,[object Object],2025-05-20T15:21:31.000Z,45,3,2,29,17,246,22,Skipped,0,0.7000000000000001
5jkzG5NWhLbefPzuo7sEfhDikqzpmB73ibynmMjsmtGs9TxymnEP4NgmyQyZqoEVa9i6JLRMuBqGwLqeDXF8WYRA,[object Object],2025-05-20T15:21:31.000Z,98,9,13,0,243,32,28,Partial Exit (Win),0.05,0.7500000000000001
5qXwRJnowVuWprEKF2U3fn67qbR7yYrTfUYEMvcWHK7tocqpwbTExjjmxbUsXQJAoXN43xu4mhcvSD5Dfp31tPTG,[object Object],2025-05-20T15:21:31.000Z,26,6,5,63,156,26,3,Partial Exit (Win),0.05,0.8000000000000002
4crSnJbfQgaQA2MTZkXJNXiGGZKjn8XQ4dekvGeh9T7qynT6DmYTWuwdZvKwqNkTW5v6C4DAsLu1KkbWBnrKV27b,[object Object],2025-05-20T15:21:31.000Z,50,0,25,94,0,27,11,Skipped,0,0.8000000000000002
Ys3ynRQmrPqjKXJN6KmZ3LAti31bozgc8drAq4tyhM5n4qmdPQJqqVsjuXtVyXtRfwmQeLYHRpMNaJyssyK1Eoh,[object Object],2025-05-20T15:21:31.000Z,92,6,1,54,111,191,4,Partial Exit (Win),0.05,0.8500000000000002
3E729o7NUAyHhJt13VdfSKGYDMQ2pU3uaYbPKUErpoqZv2pzyNsJg2Wtg3XxUdwAMQMdGWdBi3KxARBDLdpmHJ7m,[object Object],2025-05-20T15:21:31.000Z,29,0,4,25,275,17,32,Skipped,0,0.8500000000000002
3s5vfa93ZyghhTwPNjtn3jvfPYX1sQmUsgN6hjFf7ACYnSqbwXm8HDc4w21G2wQnmRV1nwEq9BTgXwHhLP5ShUqF,[object Object],2025-05-20T15:21:31.000Z,61,8,7,15,365,181,34,Partial Exit (Win),0.05,0.9000000000000002
4vzzjrz5ci3PPZ2aGr2mtXgcQmdKt1GKaeg2En1oaKFBDJQkb9BgEjLfAY6Z13PNTJGWcNa5RtXLJDEvcqNn2k7B,[object Object],2025-05-20T15:21:31.000Z,53,9,27,3,266,213,9,Moonshot (Win),0.2,1.1000000000000003
47phe1DkjE4j5NnnxpTnWQgudJHNvPaYsvLuCq34LMfeVp3vuWV1jv5Qt4TLWwZVrsDRTE69rYYkCaafo7KTJpnx,[object Object],2025-05-20T15:21:31.000Z,41,3,25,96,237,294,8,Skipped,0,1.1000000000000003
4xF65FwzAPQmtkfu8AXarM882nb5ysc3y2Riz36FkKNGWbM51ddRKR7bg9qAZ4xamyyB6DzMsFSVVhZ8zDTjNz74,[object Object],2025-05-20T15:21:31.000Z,75,3,4,50,130,167,35,Skipped,0,1.1000000000000003
5aHcjVFgQeWbMvy34Pvrpn8DfZ6ZhzGAaamRBMq9JpmRtCASc5tuiELBmHj9TZQm5QdiLqemU56o87wi7bzcGDti,[object Object],2025-05-20T15:21:31.000Z,17,2,24,64,107,280,23,Skipped,0,1.1000000000000003
2QtW68ZuC1GqMBXMSzAWbHhk8J9H7sr7f6LFb5mRHVXt4smCDTwqfUpu8ADquZ7FuP77ayg3UAfXYrZmJVssK49V,[object Object],2025-05-20T15:21:31.000Z,4,1,27,29,41,157,23,Skipped,0,1.1000000000000003
bryVag7zBXC2D92yiFYsA5D4HfFZ2wsnaFNksMvHZFMwiQ45XgJ6p62VVAxCFgdyPxpatmXpUaGcXkArHBJyY1Z,[object Object],2025-05-20T15:21:31.000Z,89,4,28,42,426,107,24,Skipped,0,1.1000000000000003
4Q4XXsYCfahaneTY99C6UmRdPvNnYYyLSJ3zkJxaiCGNrcZ9ZDaUkqXfdq7rqBHfNq4DwGQTWVUhygFDtDvtBcSJ,[object Object],2025-05-20T15:21:31.000Z,43,7,0,16,376,38,25,Partial Exit (Win),0.05,1.1500000000000004
5EwSecHMy8eb9RWpyf8ZhmT3q9VTVQup7PoMgpo5JAxFq6ENTGepFKLyTjrNfUWkVCkD22huqNtLvDpfYZb34Eys,[object Object],2025-05-20T15:21:31.000Z,51,7,29,75,420,65,34,Partial Exit (Win),0.05,1.2000000000000004
5mycnH9uBVNXt5fjtZJgafecfEkvU6DLeoLdsgbGuDQYVW2YGj6ERAKVukjiqUBS9cHH84QPzJn7ooEzr6VNPiUY,[object Object],2025-05-20T15:21:31.000Z,84,2,5,39,416,80,37,Skipped,0,1.2000000000000004
5CmHgVcmTDRTXRHAMYZdRkfUgDSwJLf6dFpq9m73jjwRoFH714SfrRcy2omzWPV5PYevoCoiNxFdNS7tMd8uwbUN,[object Object],2025-05-20T15:21:31.000Z,67,1,29,19,288,15,8,Skipped,0,1.2000000000000004
4PDZuo9JXLLr8A3p55w1V3SHEKTKVhvfunsYJrGF1fqBDo7XqFLMayx96ynGjNCKd73oUF2XHqspTqbNZzwWqcX2,[object Object],2025-05-20T15:21:31.000Z,81,0,2,34,358,18,21,Skipped,0,1.2000000000000004
2i29hMU1mXRWoXzyBEJtHaWfRMxfVPvxpQstMib6yMRMLu9iqjVW5nJzcsPJqLu1h4DSdCyELPLve5i35yaUehna,[object Object],2025-05-20T15:21:31.000Z,3,9,21,62,445,60,26,Moonshot (Win),0.2,1.4000000000000004
21AtkEUuo5XowV99ajnJz9bcrSUvkUTz1nU1T2h6hs2KNSkhb2EmiJFmdseX8aykC45wjQVfwYmbJFxpPqhQhoyx,[object Object],2025-05-20T15:21:30.000Z,10,2,5,72,430,53,30,Skipped,0,1.4000000000000004
mTio9sUNxcrX7heXet8VBEChDsNiaJVPj9iUBryDrtmvApDHCLKbUU9u9113vXxnzZJRPduZRNnG2Ki8YWeCzMK,[object Object],2025-05-20T15:21:30.000Z,17,5,20,5,341,180,34,Partial Exit (Win),0.05,1.4500000000000004
4HvE5SDbSSLYgV8CeCgYf2h17iU4fwkWU15mTFzrVoCBVCrLw6UUpsv2CTsxMs8vavE9SUP1t3WLVVdiYs4dSLZM,[object Object],2025-05-20T15:21:30.000Z,87,7,23,30,13,118,27,Partial Exit (Win),0.05,1.5000000000000004
4dYtUUvjjUSagGPxhPyEWQoousmGBrkyZsWE3YaoTgxzndm9kpywnS9spLc2ezcpT9Jn7NGNrmfCDjwN8pFDAKnn,[object Object],2025-05-20T15:21:30.000Z,30,4,16,32,324,219,27,Skipped,0,1.5000000000000004
5myK9eUgSbUCUedrp6qFrm2ygMaePFRz5nxWkmrpRnhcFuR96p2Dc3TNNiqBcQzAMdejQy842gChq2u6NsLqCwuE,[object Object],2025-05-20T15:21:30.000Z,36,3,21,8,17,256,13,Skipped,0,1.5000000000000004
4RrZycXymg6iFNHgRe1gNiJD3jJ7xnbVEEr6QtAffr2iLa4Em8LYZh5FKmgzpumJc2Jdrfepwuc11y5hmsbYuzKg,[object Object],2025-05-20T15:21:30.000Z,97,9,16,64,360,35,0,Partial Exit (Win),0.05,1.5500000000000005
5AD61bbPLJjWxT6DoNjyaPs1z3B48bygdDxbddkANkUdAyuF864MG72ZBoW1XmshWxQNejmefz7SysW1sx43nydw,[object Object],2025-05-20T15:21:30.000Z,69,7,0,33,4,110,8,Partial Exit (Win),0.05,1.6000000000000005
3yCY1yUKXr9WtgVD9zC1yqbX2QG5cwX1cLbsDEuq4HbLsyF31rTqQiU9jNE7cgtjBMdYzsYayTaveZmPkUPQ4Lwu,[object Object],2025-05-20T15:21:30.000Z,32,7,8,96,179,271,26,Partial Exit (Win),0.05,1.6500000000000006
4Mt18wX2NzdMeFRd3kjsmGmcvp7MGjYRP8fC4BMbcUyBRoxS7bPhDZZrWftLAaXNuaRxytmUbPAUcrgFogc4XkeU,[object Object],2025-05-20T15:21:30.000Z,55,2,27,86,416,230,13,Skipped,0,1.6500000000000006
3pK3o6f8V9rqcsjpGwvkJCL4HpZc1ZpfxzGpy38t5T2iSfkSiDTjusBxQe2hcAZbkyGZoJGz4kMCK5iBU53euiPP,[object Object],2025-05-20T15:21:30.000Z,33,3,28,2,125,282,31,Skipped,0,1.6500000000000006
5Gy9X8c9Gk8vE3pwP4D26CbxxfJdFDiLxxNei3XxZjuFPwDNUuSSDxgMwbvhb987RWbuz9GeS6pEMeuFxUkF9jXL,[object Object],2025-05-20T15:21:30.000Z,45,6,13,70,147,4,8,Partial Exit (Win),0.05,1.7000000000000006
2qx9ansrCGXzBM75PkiatubxPS8jLegnBaF3xqACLTYPxtGMmLuKFh8AbZJFbj9nh9TtZyeRjLbbHbRJiFQJqWza,[object Object],2025-05-20T15:21:30.000Z,8,6,2,72,441,20,16,Partial Exit (Win),0.05,1.7500000000000007
5VBjCo6F8nQQ8Hja6z3bGuQ115Uw7ArBuabXJbg7hsJnxGy2zdRgHxf7qsZsJHB5modJChKLzzK98nrBjRZDqiJp,[object Object],2025-05-20T15:21:30.000Z,83,2,20,45,253,92,26,Skipped,0,1.7500000000000007
4e49ME5u9kRtzU8gZkHNXykYi2ps4c2VhD88HJPdBAE48t8brAEY9t33N9QWk7eVP8LPnpVEaNjCFuSr8WYqyZWT,[object Object],2025-05-20T15:21:30.000Z,17,6,5,74,96,120,32,Partial Exit (Win),0.05,1.8000000000000007
o7FZzK9sCg4ED19RR4T4egrA9iwTTg7EYJFNhoKkSEwxbj4D1Ceyq9ZxZvqJG3VdB8GZ5wWs5Munk4W2MZVxjhs,[object Object],2025-05-20T15:21:30.000Z,63,2,0,48,51,206,34,Skipped,0,1.8000000000000007
2nBwGZi1gRonvih5AXeEh18NxaRa1DNPDx4UBYARpH1TL7zzahxnaSxaFB5NgrFaSEwERN2vTusNpfTTJwu6JHrr,[object Object],2025-05-20T15:21:30.000Z,11,0,7,97,154,140,23,Skipped,0,1.8000000000000007
5ESVeHg9TVAY11KuJ5267ezpzi18v8KAXXKL8TcvzBoHcMP3UaG2FfY1r1HrorQcsYyXfB4Lubyi6mtjZ59QnVtD,[object Object],2025-05-20T15:21:30.000Z,84,7,27,12,472,250,16,Moonshot (Win),0.2,2.000000000000001
2bp6fyhUFisxj24bxPhNtcc5m5uanAoRisBojbKYcdUuQjse88AHxUjWoSyWMqSyRowUFsXCCogQ6vZsHRi1S5c8,[object Object],2025-05-20T15:21:30.000Z,54,5,27,59,67,8,23,Partial Exit (Win),0.05,2.0500000000000007
4ZSae19vGzbXSYWVA4jHnTbZqpM1XjnQeZTEQxw81dbE4VMg1R4WEHBZrhvtLKekJRYKJcZyGFTsAHbumqfuCafP,[object Object],2025-05-20T15:21:30.000Z,33,7,1,29,211,81,22,Partial Exit (Win),0.05,2.1000000000000005
GZC8Nk3CxrVfgGBiukzvGU4N7AzdmC29WiD59K4FVn8oroNxefs2DS11rWjovTGLJ7ToFo7oHfi4uJDyb1bog4M,[object Object],2025-05-20T15:21:30.000Z,25,3,12,14,389,112,21,Skipped,0,2.1000000000000005
5TFRBomnGepGY932tphtKs4m7utCt7kMDzeFFnomzGGGp3J6m9yhJiBcATWpjyGFLcmJEoHjLW8o98rSD5AcF2T2,[object Object],2025-05-20T15:21:30.000Z,26,5,18,23,489,12,18,Partial Exit (Win),0.05,2.1500000000000004
2xpqdQid7SQC5Z4oARFgX9ovBBusq9SyQ8xA91JF6WbRc4VfukGPWnSpZUcU7HurLFiyTw6XU6A79TS929VbkKMZ,[object Object],2025-05-20T15:21:30.000Z,43,9,23,52,19,17,39,Partial Exit (Win),0.05,2.2
2TfaX8N79BJt1UxRMMmeDr9aPzdroojeVpfv5SWzcPwUj1Cxn9QokEFmQm6myvNPYCXwkEYtQtnfXfgnJ7mQoZsF,[object Object],2025-05-20T15:21:30.000Z,7,6,1,4,410,290,10,Moonshot (Win),0.2,2.4000000000000004
5in8QrVmNk1R5rjyjsoCEmwDdGKpNNhRqUKHtEDwbB8VcXqWmijkNCdXTduAomqbBDpdvQoup5EmF6MgHu8bzo1d,[object Object],2025-05-20T15:21:30.000Z,82,4,19,55,495,191,4,Skipped,0,2.4000000000000004
mB8FTWFy8Anq18KGdTdPHL227CqMAJbMeto9P1ReVcjMbzhLfSx81XjbrhgRnPL7yuDC2w6BuuCZJVDC8j9rSuG,[object Object],2025-05-20T15:21:30.000Z,55,6,12,76,58,10,8,Partial Exit (Win),0.05,2.45
39M54MyqbEpGAmSC6v61H9FNjKf3bEGDu6kYFw8r5Yj1x3CP1apLNRQLv8Yx4RDnYjcig2zQR3AZ9m5fJLAcqcCE,[object Object],2025-05-20T15:21:30.000Z,0,6,0,75,152,141,34,Partial Exit (Win),0.05,2.5
tgt3AqqtJRNny5D8acyZYGY14edosC3HqWSBgonqBr6HPPav68hnNj56UAfhSVkfx3oJHRNwL3cVd7xZKP5FvDn,[object Object],2025-05-20T15:21:30.000Z,46,6,2,2,430,41,23,Partial Exit (Win),0.05,2.55
2HNNmfPs3CSVpAetnf5tA5mS4L4xY6zBfhBSjcmwuR6XPgfpJfWHFg1xbQkt4a1RtbiAWmZE7YWyDmeB3YfvmGhr,[object Object],2025-05-20T15:21:30.000Z,70,4,29,54,7,135,13,Skipped,0,2.55
3Tv5nQXcn71Lrxj91euSTd6R9fCXkpMtrEzHN7YSrMWN9SBJMkWhFuWwCijEfQUu47csfXCzczdvFQu6Lr7MbkT2,[object Object],2025-05-20T15:21:30.000Z,87,8,22,31,277,160,21,Moonshot (Win),0.2,2.75
541agqmi6XoN9u3454JyTG1Fm71QfoxmU7rpkWRxpTuk1HR9V6XmWGZ3J8zw8t6ddK5x9NgsxFLz5XFHDmB81XAM,[object Object],2025-05-20T15:21:30.000Z,89,5,27,98,299,199,38,Partial Exit (Win),0.05,2.8
2ff8kQgnwzcHadr3nbgjb4WQgDiUL3mHLQ6fkjKhvj2gEiydjV29ij3N6b2cbsutouLngEkmpi9WZcShxiiUnxrX,[object Object],2025-05-20T15:21:30.000Z,24,6,26,34,210,208,14,Moonshot (Win),0.2,3
2gCYCXfPdZmF6xbf9gFkExsqpNpmadp5h9MBSzeF3JbAv9TRhp6x3wzBJXitjUB6syvLv9NRMp25W5982aRLrqSC,[object Object],2025-05-20T15:21:30.000Z,15,6,24,43,29,57,38,Partial Exit (Win),0.05,3.05
499rsC94WhtoPRZzivZUW3aez9TSZwFhWQQzQirBuWz4K2ahMSopAYn2T1s4Ak5Kvz1jFp7brkf559yvRatXqksg,[object Object],2025-05-20T15:21:30.000Z,41,7,9,16,449,128,27,Moonshot (Win),0.2,3.25
59QqTZsr53BRhxrekYfWWErCLhjM164ZvL4oDoMtuctStV9ttDks7CsKbKdbuagnDVBLnQNSxqzddDpLQsSF4Rap,[object Object],2025-05-20T15:21:30.000Z,13,4,20,3,45,226,13,Skipped,0,3.25
5JpZWBCfxYp7WZKVHU4NyepkQmhWvoQE7CXuZBRi5XvRdVLzg53WmHvs2tnab7JnpKcUJmYLrLapcoKNhJ3rBtfY,[object Object],2025-05-20T15:21:30.000Z,60,9,5,65,141,176,25,Partial Exit (Win),0.05,3.3
3f2zRf9DB7j8vCjNHzPWdNSfJMSoZac9uwS6iK2kDgVDSfjkAPhxHb53MjooiivsFnt2gC3rY6YqzYgvxjNgsCK5,[object Object],2025-05-20T15:21:30.000Z,89,1,5,96,36,104,20,Skipped,0,3.3
2fEksr5JvRWv3g59zRe7P8k5RbwEwaB9qFZ4v7CsX69QZAML2WFUK5p2HC9tG4YR19yfhGfzLwhzicPE77KkusZq,[object Object],2025-05-20T15:21:30.000Z,95,7,4,59,60,26,26,Partial Exit (Win),0.05,3.3499999999999996
628ykLq5S1LKhFfdkTSpbLVqqULsBYpatERH2Y2GzBpvywh9hnADmzdm7MNd8WTqdKcc2zB8JuWaCKSVpKHnw84b,[object Object],2025-05-20T15:21:30.000Z,67,5,28,61,71,19,30,Partial Exit (Win),0.05,3.3999999999999995
AmSfpsZGgJfQMhBkghDUNhJZp4kxXjjbpLdR9TmmDHC6JR1vBFYFY8vbqQPjkRJ9jXvQg8xBMSuZMsBhGc6LzPd,[object Object],2025-05-20T15:21:30.000Z,22,2,13,17,489,22,2,Skipped,0,3.3999999999999995
38y3EML5AbD6kYQuhjYQZf2fcHG72P5HipfJpVWYhMy4ZdQzCxzr9Gp1mXypTtaBhFvgt9AfReSDy1KEZmMjUjMy,[object Object],2025-05-20T15:21:30.000Z,26,2,24,82,39,224,15,Skipped,0,3.3999999999999995
rdf6wZR4dFJd271CUjxEzaoyfW6QA8PpxqCVzxr6qJ5JYyMkCHutpdQpAdzkMfCUYr92cJNb6jnaL5yzt9J3joK,[object Object],2025-05-20T15:21:30.000Z,63,5,12,38,136,224,18,Partial Exit (Win),0.05,3.4499999999999993
mhVH2qtqjWovgyw7TMkB8snPX9hKktKBWVBRgRhyQtfYVBLPsWbdhyRqHgnDv417PQdv6xEWrMj3fzq5xmtU31H,[object Object],2025-05-20T15:21:30.000Z,91,8,22,49,52,54,8,Partial Exit (Win),0.05,3.499999999999999
5kipKKDbWZEvaDRSrsjXpDhRE1QUSFFH5GsfKmbjYga33B4TvmWfPABuPBBUQZP9WXvJqTNXpenGXqwDsMQ4Pccq,[object Object],2025-05-20T15:21:30.000Z,10,4,17,72,469,280,12,Skipped,0,3.499999999999999
49hWQNnhEDeTwT9FVXHoodrJ3gXCUGEDX3XHsP726SQ2zwy6EYXFun9LXhBrC8e8jgeCeeacwbCqcrkehmYn82W6,[object Object],2025-05-20T15:21:30.000Z,63,5,0,19,226,75,20,Partial Exit (Win),0.05,3.549999999999999
3nRcnr6mF5ze9Hb4TFsMWarJwhDEJdoLAbpBRiCDvHUVBuCFUGo7LC8UbvhJ1vKLMwVhRLU6YZw9t9PALPKNjHp4,[object Object],2025-05-20T15:21:30.000Z,17,5,15,46,418,168,18,Moonshot (Win),0.2,3.749999999999999
3PRvA2i4UXFVo6p34UBAGG6YGV1h9oxFeKxq9h4shvsiWJSg9rC8prfQgZEUKTg19ZuZ76yCpCyZF6DMMbbjC1gS,[object Object],2025-05-20T15:21:30.000Z,61,9,24,44,297,19,36,Partial Exit (Win),0.05,3.799999999999999
4gQATGsGY3grBqfe6QZtZf5jawsSwCXuG95xuDPprc8b3Xo2hhY3Ud75Udf5Ua15rW4QMx2KVBgtSGTxgM9SZwQr,[object Object],2025-05-20T15:21:30.000Z,73,2,5,82,427,235,23,Skipped,0,3.799999999999999
4JC7DxvhNEq6VhkiDpqGTxFcj3VZy9nfHzM27eBH8sFyncAoieETrQ323ovYbweKSmVeV7X8EjwCGGUozfCoy7HH,[object Object],2025-05-20T15:21:30.000Z,7,5,8,70,183,240,12,Partial Exit (Win),0.05,3.8499999999999988
2s1BSvfKt7vTwwkyc1puyYXNcXuouZ7dMz8w7Ltk6s8DSmWtRH9KVDNfUzfZpZrNFMz8n9LtWC3kYvtpHYEXztP,[object Object],2025-05-20T15:21:30.000Z,76,7,24,92,438,147,9,Moonshot (Win),0.2,4.049999999999999
64KtBRDQE1igQExskknmPm8bgiYG7FqPtdzskVTnUDxmNsxxgzFmcUzXfb68Ljwg9CqJnmAcZV1TtxNU2v451S8L,[object Object],2025-05-20T15:21:30.000Z,38,7,6,32,106,155,0,Partial Exit (Win),0.05,4.099999999999999
